Name,Active substance,Amount of substance,Form,Prescription type
Lesine,Drospirenonum 3 mg + Ethinylestradiolum 0.03 mg,3 mg + 0.03 mg,Tabletki powlekane,Rp
Igzelym,Ticagrelorum 60 mg,60 mg,Tabletki powlekane,Rp
Igzelym,Ticagrelorum 90 mg,90 mg,Tabletki powlekane,Rp
Escapelle,Levonorgestrelum 1.5 mg,1.5 mg,Tabletki ulegające rozpadowi w jamie ustnej,Rp
Wellbutrin XR,Bupropioni hydrochloridum 300 mg,300 mg,Tabletki o zmodyfikowanym uwalnianiu,Rp
Histigen,Betahistini dihydrochloridum 16 mg,16 mg,Tabletki,Rp
Dabigatran Eteksylan Stada,Dabigatranum etexilatum mesilatum 86.48 mg,75 mg,Kapsułki twarde,Rp
Dabigatran Eteksylan Stada,Dabigatranum etexilatum mesilatum 126.83 mg,110 mg,Kapsułki twarde,Rp
Dabigatran Eteksylan Stada,Dabigatranum etexilatum mesilatum 1472.95 mg,150 mg,Kapsułki twarde,Rp
Tuberculinum,Tuberculinum 4CH. 5CH. 7CH. 9CH. 12CH. 15CH. 30CH. 200CH. 7K. 12K. 30K. 200K. 1MK. 10MK. 100MK 0.01 ml,4CH. 5CH. 7CH. 9CH. 12CH. 15CH. 30CH. 200CH. 7K. 12K. 30K. 200K. 1MK. 10MK. 100MK,Granulki,OTC
Aethusa cynapium,"Aethusa cynapium (2CH. 4CH. 5CH. 7CH. 9CH. 12CH. 15CH. 30CH. 200CH. 6K. 12K. 30K. 200K.
1MK. 10MK. 100MK) 0.01 ml/1 g",2CH. 4CH. 5CH. 7CH. 9CH. 12CH. 15CH. 30CH. 200CH. 6K. 12K. 30K. 200K. 1MK. 10MK. 100MK,Granulki,OTC
LevoDril,Levodropropizinum 60 mg/10 ml,60 mg/10 ml,Syrop,OTC
Dexamytrex,Gentamicini sulfas 5 mg/ml + Dexamethasoni Natrii phosphas 1 mg/ml,5 mg/ml + 1 mg/ml,Krople do oczu. roztwór,Rp
Wellbutrin XR,Bupropioni hydrochloridum 150 mg,150 mg,Tabletki o zmodyfikowanym uwalnianiu,Rp
Xylometazolin Fortis,Xylometazolini hydrochloridum 1 mg/ml,1 mg/ml,Aerozol do nosa. roztwór,OTC
Wellbutrin XR,Bupropioni hydrochloridum 150 mg,150 mg,Tabletki o zmodyfikowanym uwalnianiu,Rp
Wellbutrin XR,Bupropioni hydrochloridum 300 mg,300 mg,Tabletki o zmodyfikowanym uwalnianiu,Rp
Lexotan,Bromazepamum 3 mg,3 mg,Tabletki,Rp
Brimogen,Brimonidini tartras 2 mg/ml,2 mg/ml,Krople do oczu. roztwór,Rp
Epistatus,Midazolamum 10 mg,10 mg,Roztwór do stosowania w jamie ustnej,Rp
Monural,Fosfomycinum 3 g,3 g,Granulat do sporządzania roztworu doustnego,Rp
Aspirin Cardio,Acidum acetylsalicylicum 100 mg,100 mg,Tabletki dojelitowe,OTC
Mucosolvan,Ambroxoli hydrochloridum 30 mg/5 ml,30 mg/5 ml,Syrop,OTC
Paracetamol Nutra Essential,Paracetamolum 325 mg,325 mg,Granulat w saszetce,OTC
Enterol,Saccharomyces boulardii CNCM I-745 250 mg,250 mg,Kapsułki twarde,OTC
Xonvea,Doxylamini hydrogenosuccinas 10 mg + Pyridoxini hydrochloridum 10 mg,10 mg + 10 mg,Tabletki dojelitowe,Rp
Letrox 25 mikrogramów,Levothyroxinum natricum 25 mcg,25 mcg,Tabletki,Rp
Rivaroxaban Ranbaxy,Rivaroxabanum 2.5 mg,2.5 mg,Tabletki powlekane,Rp
Rivaroxaban Ranbaxy,Rivaroxabanum 10 mg,10 mg,Tabletki powlekane,Rp
Rivaroxaban Ranbaxy,Rivaroxabanum 15 mg,15 mg,Tabletki powlekane,Rp
Rivaroxaban Ranbaxy,Rivaroxabanum 20 mg,20 mg,Tabletki powlekane,Rp
Recenum Baby,Racecadotrilum 10 mg,10 mg,Granulat do sporządzania zawiesiny doustnej w saszetce,Rp
Recenum Junior,Racecadotrilum 30 mg,30 mg,Granulat do sporządzania zawiesiny doustnej w saszetce,OTC
Inhixa,Enoxaparinum natricum 15000 j.m.,15 000 j.m. (150 mg)/1 ml,Roztwór do wstrzykiwań,Rp
Spamilan,Buspironi hydrochloridum 5 mg,5 mg,Tabletki,Rp
Noclaud,Cilostazolum 100 mg,100 mg,Tabletki,Rp
Ibuprom Ultramax Sprint,Ibuprofenum 600 mg,600 mg,Kapsułki miękkie,OTC
Duspatalin retard,Mebeverini hydrochloridum 200 mg,200 mg,Kapsułki o przedłużonym uwalnianiu. twarde,Rp
Tritace 10,Ramiprilum 10 mg,10 mg,Tabletki,Rp
Lisinoratio 20,Lisinoprilum 20 mg,20 mg,Tabletki,Rp
BILARGENA,Bilastinum 20 mg,20 mg,Tabletki,Rp
Verpyllo,Bilastinum 20 mg,20 mg,Tabletki,Rp
Adablix,Bilastinum 20 mg,20 mg,Tabletki,Rp
Abiraterone Sandoz,Abirateroni acetas 1000 mg,1000 mg,Tabletki powlekane,Rp
Diclac 100,Diclofenacum natricum 100 mg,100 mg,Czopki,Rp
Theraflu MAX GRIP,Paracetamolum 1000 mg + Phenylephrini hydrochloridum 10 mg + Acidum ascorbicum 70 mg,1000 mg + 10 mg + 70 mg,Proszek do sporządzania roztworu doustnego,OTC
Lakcid ENTERO,Saccharomyces cerevisiae var. boulardii 250 mg,250 mg,Kapsułki twarde,OTC
Metamizol Promedo,Metamizolum natricum monohydricum 500 mg,500 mg,Tabletki,OTC
Tramadol hydrochloride + Paracetamol Accord,Tramadoli hydrochloridum 37.5 mg + Paracetamolum 325 mg,37.5 mg + 325 mg,Tabletki musujące,Rp
Moxifloxacinum Stulln,Moxifloxacini hydrochloridum 5.45 mg/ml,5 mg/ml,Krople do oczu. roztwór,Rp
Moxifloxacinum Stulln,Moxifloxacini hydrochloridum 5.45 mg/ml,5 mg/ml,Krople do oczu. roztwór w pojemniku jednodawkowym,Rp
Ipinzan,Vildagliptinum 50 mg + Metformini hydrochloridum 850 mg,50 mg + 850 mg,Tabletki powlekane,Rp
Ipinzan,Vildagliptinum 50 mg + Metformini hydrochloridum 1000 mg,50 mg + 1000 mg,Tabletki powlekane,Rp
Vivace 5 mg,Ramiprilum 5 mg,5 mg,Tabletki,Rp
Vivace 10 mg,Ramiprilum 10 mg,10 mg,Tabletki,Rp
Dalacin,Clindamycinum 20 mg/g (2%),20 mg/g (2%),Krem dopochwowy,Rp
Lipanthyl NT 145,Fenofibratum 145 mg,145 mg,Tabletki powlekane,Rp
CitraFleet,Natrii picosulfas 0.01 g /saszetkę + Magnesii oxidum leve 3.50 g/saszetkę + Acidum citricum 10.97 g/saszetkę,(0.01 g + 3.50 g + 10.97 g)/saszetkę,Proszek do sporządzania roztworu doustnego,Rp
Lorafen,Lorazepamum 2.5 mg,2.5 mg,Tabletki drażowane,Rp
Nystatin TZF,Nystatinum 100000 IU/ml,100000 IU/ml,Proszek do sporządzania zawiesiny doustnej,Rp
Rybelsus,Semaglutidum 3 mg,3 mg,Tabletki,Rp
Rybelsus,Semaglutidum 7 mg,7 mg,Tabletki,Rp
Rybelsus,Semaglutidum 14 mg,14 mg,Tabletki,Rp
Metformax Combi,Sitagliptini hydrochloridum monohydricum 56.688 mg + Metformini hydrochloridum 850 mg,50 mg + 850 mg,Tabletki powlekane,Rp
Metformax Combi,Sitagliptini hydrochloridum monohydricum 56.688 mg + Metformini hydrochloridum 1000 mg,50 mg + 1000 mg,Tabletki powlekane,Rp
Ambrolytin max,Ambroxoli hydrochloridum 30 mg,30 mg,Tabletki,OTC
Sitagliptin Aflofarm,Sitagliptini hydrochloridum monohydricum 113.37 mg,100 mg,Tabletki powlekane,Rp
Evertas,Rivastigminum 19.2 mg/system transdermalny,13.3 mg/24 h,System transdermalny. plaster,Rp
Ibutrixen Fast,Ibuprofenum 400 mg,400 mg,Kapsułki miękkie,OTC
Metoclopramidi hydrochloridum Noridem,Metrocloprimidi hydrochloridum monohydricum 5.27 mg/ml,5 mg/ml,Roztwór do wstrzykiwań,Rp
Adoben,Tapentadolum 50 mg,50 mg,Tabletki o przedłużonym uwalnianiu,Rpw
Adoben,Tapentadoli maleas hemihydricum 156.51 mg,100 mg,Tabletki o przedłużonym uwalnianiu,Rpw
Adoben,Tapentadoli maleas hemihydricum 234.76 mg,150 mg,Tabletki o przedłużonym uwalnianiu,Rpw
Adoben,Tapentadoli maleas hemihydricum 313.01 mg,200 mg,Tabletki o przedłużonym uwalnianiu,Rpw
Adoben,Tapentadoli maleas hemihydricum 391.27 mg,250 mg,Tabletki o przedłużonym uwalnianiu,Rpw
Bendamustine Accord,Bendamustini hydrochloridum monohydricum 26.14 mg/ml,25 mg/ml,Koncentrat do sporządzania roztworu do infuzji,Rp
Lonamo,Sitagliptini hydrochloridum monohydricum 56.69 mg,50 mg,Tabletki powlekane,Rp
Lonamo,Sitagliptini hydrochloridum monohydricum 113.37 mg,100 mg,Tabletki powlekane,Rp
Lonamo Duo,Sitagliptinum 50 mg + Metformini hydrochloridum 850 mg,50 mg + 850 mg,Tabletki powlekane,Rp
Lonamo Duo,Sitagliptinum 50 mg + Metformini hydrochloridum 1000 mg,50 mg + 1000 mg,Tabletki powlekane,Rp
Actair,Standaryzowane wyciągi alergenów roztoczy kurzu domowego Dermatophagoides pteronyssinus i Dermatophagoides farinae 100 IR,100 IR,Tabletki podjęzykowe,Rp
Actair,Standaryzowane wyciągi alergenów roztoczy kurzu domowego Dermatophagoides pteronyssinus i Dermatophagoides farinae 100 IR + 300 IR,100 IR+ 300 IR,Tabletki podjęzykowe,Rp
Actair,Standaryzowane wyciągi alergenów roztoczy kurzu domowego Dermatophagoides pteronyssinus i Dermatophagoides farinae 300 IR,300 IR,Tabletki podjęzykowe,Rp
Dulsevia,Duloxetinum 30 mg,30 mg,Kapsułki dojelitowe. twarde,Rp
Dulsevia,Duloxetinum 60 mg,60 mg,Kapsułki dojelitowe. twarde,Rp
Bixebra,Ivabradinum 7.5 mg,7.5 mg,Tabletki powlekane,Rp
Septogard smak cytrynowy,Benzydamini hydrochloridum 3 mg,3 mg,Pastylki twarde,OTC
Septogard smak miodowo-pomarańczowy,Benzydamini hydrochloridum 3 mg,3 mg,Pastylki twarde,OTC
Concor Cor 1.25,Bisoprololi fumaras 1.25 mg,1.25 mg,Tabletki powlekane,Rp
Rupafin,Rupatadinum 1 mg/ml,1 mg/ml,Roztwór doustny,Rp
Halidor,Bencyclani fumaras 100 mg,100 mg,Tabletki,Rp
Bixebra,Ivabradinum 5 mg,5 mg,Tabletki powlekane,Rp
Skinoren,Acidum azelaicum 200 mg/g,200 mg/g,Krem,OTC
Vigantoletten 1000,Cholecalciferolum 25 mcg (1000 j.m.),25 mcg (1000 j.m.),Tabletki,OTC
Pirolam Intima Vag,Clotrimazolum 500 mg,500 mg,Tabletki dopochwowe,OTC
Halidor,Bencyclani fumaras 100 mg,100 mg,Tabletki,Rp
Daptomycin Fosun Pharma,Daptomycinum 350 mg,350 mg,Proszek do sporządzania roztworu do wstrzykiwań / do infuzji,Rp
Hydroxychloroquine sulfate Edest,Hydroxychloroquini sulphas 200 mg,200 mg,Tabletki powlekane,Rp
Atarax,Hydroxyzini hydrochloridum 25 mg,25 mg,Tabletki powlekane,Rp
Canespor,Bifonazolum 10 mg/g,10 mg/g,Krem,OTC
Karbicombi,Candesartanum cilexetili 32 mg + Hydrochlorothiazidum 25 mg,32 mg + 25 mg,Tabletki,Rp
Xalofree,Latanoprostum 50 mcg/ml,50 mcg/ml,Krople do oczu. roztwór,Rp
Dermatol APTEO MED,Bismuthi subgallas 100 g/100 g,100 g/100 g,Puder leczniczy,OTC
Crestor,Rosuvastatinum 10 mg,10 mg,Tabletki powlekane,Rp
Crestor,Rosuvastatinum 5 mg,5 mg,Tabletki powlekane,Rp
Feldene,Piroxicamum 20 mg/ml,20 mg/ml,Roztwór do wstrzykiwań,Rp
Calcium + Cholecalciferol Béres,Cholecalciferolum. pulvis 8.000 mg + Calcium 600 mg,600 mg + 800 j.m.,Tabletki powlekane,Rp
Sertraline Zentiva,Sertralini hydrochloridum 27.98 mg,25 mg,Tabletki powlekane,Rp
Urapidil Kalceks,Urapidilum 25 mg,25 mg,Roztwór do wstrzykiwań / do infuzji,Rp
Anesderm,Prilocainum 25 mg/g + Lidocainum 25 mg/g,(25 mg + 25 mg)/g,Krem,Rp
Nomigren,Almotriptani malas 17.5 mg,12.5 mg,Tabletki powlekane,OTC
Pyretolek,Metamizolum natricum monohydricum 500 mg,500 mg,Tabletki powlekane,OTC
Gaviscon o smaku mięty TAB,Natrii alginas 250 mg + Natrii hydrogenocarbonas 133.5 mg + Calcii carbonas 80 mg,250 mg + 133.5 mg + 80 mg,Tabletki do rozgryzania i żucia,OTC
Egoropal,Paliperidonum 25 mg,25 mg,Zawiesina do wstrzykiwań o przedłużonym uwalnianiu,Rp
Egoropal,Paliperidonum 50 mg,50 mg,Zawiesina do wstrzykiwań o przedłużonym uwalnianiu,Rp
Egoropal,Paliperidonum 75 mg,75 mg,Zawiesina do wstrzykiwań o przedłużonym uwalnianiu,Rp
Egoropal,Paliperidonum 100 mg,100 mg,Zawiesina do wstrzykiwań o przedłużonym uwalnianiu,Rp
Egoropal,Paliperidonum 150 mg,150 mg,Zawiesina do wstrzykiwań o przedłużonym uwalnianiu,Rp
Aviorexan,Dimenhydrinatum 50 mg + Coffeinum 50 mg,50 mg + 50 mg,Tabletki powlekane,OTC
Sitaformil duo,Sitagliptini hydrochloridum monohydricum 56.69 mg + Metformini hydrochloridum 1000 mg,50 mg + 1000 mg,Tabletki powlekane,Rp
Palifren Long,Paliperidoni pamitas 39 mg,25 mg,Zawiesina do wstrzykiwań o przedłużonym uwalnianiu w ampułko-strzykawce,Rp
Palifren Long,Paliperidonum 50 mg,50 mg,Zawiesina do wstrzykiwań o przedłużonym uwalnianiu w ampułko-strzykawce,Rp
Palifren Long,Paliperidonum 75 mg,75 mg,Zawiesina do wstrzykiwań o przedłużonym uwalnianiu w ampułko-strzykawce,Rp
Etoxam,Etofenamatum 100 mg/g,100 mg/g,Żel,OTC
Palifren Long,Paliperidonum 100 mg,100 mg,Zawiesina do wstrzykiwań o przedłużonym uwalnianiu w ampułko-strzykawce,Rp
Kidofen max,Ibuprofenum 250 mg//5 ml,250 mg/5 ml,Zawiesina doustna,OTC
Palifren Long,Paliperidonum 150 mg,150 mg,Zawiesina do wstrzykiwań o przedłużonym uwalnianiu w ampułko-strzykawce,Rp
Palifren Long,Paliperidonum 150 mg / 100 mg,150 mg / 100 mg,Zawiesina do wstrzykiwań o przedłużonym uwalnianiu w ampułko-strzykawce,Rp
Lesiplus,Drospirenonum 3 mg + Ethinylestradiolum 0.02 mg,3 mg + 0.02 mg,Tabletki powlekane,Rp
Juzina,Sitagliptinum 100 mg,100 mg,Tabletki powlekane,Rp
Canesten Control,Clotrimazolum 10 mg/g,10 mg/g,Krem,OTC
Montelukast Bluefish Pharma,Montelukastum 10 mg,10 mg,Tabletki powlekane,Rp
Montelukast Bluefish Pharma,Montelukastum 4 mg,4 mg,Tabletki do rozgryzania i żucia,Rp
Montelukast Bluefish Pharma,Montelukastum 5 mg,5 mg,Tabletki do rozgryzania i żucia,Rp
Rupafin 10 mg,Rupatadinum 10 mg,10 mg,Tabletki,Rp
Zenofor,Metformini hydrochloridum 500 mg,500 mg,Tabletki powlekane,Rp
Zenofor,Metformini hydrochloridum 850 mg,850 mg,Tabletki powlekane,Rp
Zenofor,Metformini hydrochloridum 1000 mg,1000 mg,Tabletki powlekane,Rp
Methotrexate EVER Pharma,Methotrexatum 7.5 mg,7.5 mg,Roztwór do wstrzykiwań w ampułko-strzykawce,Rp
Betacal,Calcipotriolum 50 mcg/g + Betamethasonum 0.5 mg/g,(50 mcg+ 0.5 mg)/g,Żel,Rp
Alpragen,Alprazolamum 1 mg,1 mg,Tabletki,Rp
Betaserc ODT,Betahistini dihydrochloridum 24 mg,24 mg,Tabletki ulegające rozpadowi w jamie ustnej,Rp
Inhibace,Cilazaprilum 5 mg,5 mg,Tabletki powlekane,Rp
Corneregel,Dexpanthenolum 50 mg/g,50 mg/g,Żel do oczu,Rp
Tardyferon-Fol,Ferrosi sulfas 80 mg + Acidum folicum 0.35 mg,80 mg Fe2+ + 0.35 mg,Tabletki o przedłużonym uwalnianiu,Rp
Celecoxib Accord,Celecoxibum 100 mg,100 mg,Kapsułki twarde,Rp
Celecoxib Accord,Celecoxibum 200 mg,200 mg,Kapsułki twarde,Rp
Memantine Grindeks,Memantini hydrochloridum 10 mg,10 mg,Tabletki powlekane,Rp
Rosucard,Rosuvastatinum 10 mg,10 mg,Tabletki powlekane,Rp
Betaloc ZOK 50,Metoprololi succinas 47.5 mg,47.5 mg,Tabletki o przedłużonym uwalnianiu,Rp
Nurofen dla dzieci,Ibuprofenum 60 mg,60 mg,Czopki,OTC
Fervex,Paracetamolum 500 mg + Acidum ascorbicum 200 mg + Pheniramini maleas 25 mg,500 mg + 200 mg + 25 mg,Granulat do sporządzania roztworu doustnego,OTC
Insulin aspart Sanofi,Insulinum aspartum 100 j.m./ml,100 j.m./ml,Roztwór do wstrzykiwań,Rp
Memocit,Citicolinum natricum 1045 mg/10 ml,1000 mg/10 ml,Roztwór doustny,Rp
Primacor,Lercanidipini hydrochloridum 20 mg,20 mg,Tabletki powlekane,Rp
Dulsevia,Duloxetinum 30 mg,30 mg,Kapsułki dojelitowe. twarde,Rp
Penlac,Amoxicillinum trihydricum 875 mg + Acidum clavulanicum 125 mg,875 mg + 125 mg,Tabletki powlekane,Rp
Calsus,Cholecalciferolum 25000 IU,25 000 IU,Kapsułki miękkie,Rp
Paxifar,Clozapinum 25 mg,25 mg,Tabletki,Rp
Paxifar,Clozapinum 50 mg,50 mg,Tabletki,Rp
Paxifar,Clozapinum 100 mg,100 mg,Tabletki,Rp
Paxifar,Clozapinum 200 mg,200 mg,Tabletki,Rp
Telam,Telmisartanum 40 mg + Amlodipinum 10 mg,40 mg + 10 mg,Tabletki,Rp
Triderm,Betamethasoni dipropionas 0.64 mg/g + Clotrimazolum 10 mg/g + Gentamicinum 1 mg/g,(0.64 mg + 10 mg + 1 mg)/g,Krem,Rp
Triderm,Betamethasoni dipropionas 0.64 mg/g + Clotrimazolum 10 mg/g + Gentamicinum 1 mg/g,(0.64 mg + 10 mg + 1 mg)/g,Maść,Rp
Dexak SL,Dexketoprofenum 25 mg,25 mg,Granulat do sporządzania roztworu doustnego,OTC
Cavinton Forte,Vinpocetinum 10 mg,10 mg,Tabletki,Rp
Physiotens 0.4,Moxonidinum 0.4 mg,0.4 mg,Tabletki powlekane,Rp
Fervex D,Paracetamolum 500 mg + Acidum ascorbicum 200 mg + Pheniramini maleas 25 mg,500 mg + 200 mg + 25 mg,Granulat do sporządzania roztworu doustnego,OTC
Urapidil Kalceks,Urapidilum 50 mg,50 mg,Roztwór do wstrzykiwań / do infuzji,Rp
Eslibon,Eslicarbazepini acetas 200 mg,200 mg,Tabletki,Rp
Eslibon,Eslicarbazepini acetas 400 mg,400 mg,Tabletki,Rp
Eslibon,Eslicarbazepini acetas 600 mg,600 mg,Tabletki,Rp
Eslibon,Eslicarbazepini acetas 800 mg,800 mg,Tabletki,Rp
Crosuvo Plus,Rosuvastatinum calicum 5.2 mg + Ezetimibum 10 mg,5 mg + 10 mg,Tabletki powlekane,Rp
Travoprost + Timolol Medical Valley,Travoprostum 0.04 mg/ml + Timololum 5 mg/ml,(40 mcg + 5 mg)/ml,Krople do oczu. roztwór,Rp
Diovemin,Diosminum 1000 mg,1000 mg,Tabletki,OTC
Anosin,Phenylephrinum 10 mg,10 mg,Kapsułki twarde,OTC
Tulip Combo,Ezetimibum 10 mg + Atorvastatinum calcicum trihydricum 10.845 mg,10 mg + 10 mg,Tabletki powlekane,Rp
Tardyferon-Fol,Ferrosi sulfas 80 mg + Acidum folicum 0.35 mg,80 mg Fe2+ + 0.35 mg,Tabletki o przedłużonym uwalnianiu,Rp
Tulip Combo,Ezetimibum 10 mg + Atorvastatinum calcicum trihydricum 21.69 mg,10 mg + 20 mg,Tabletki powlekane,Rp
Tulip Combo,Ezetimibum 10 mg + Atorvastatinum calcicum trihydricum 43.38 mg,10 mg + 40 mg,Tabletki powlekane,Rp
Tulip Combo,Ezetimibum 10 mg + Atorvastatinum calcicum trihydricum 86.76 mg,10 mg + 80 mg,Tabletki powlekane,Rp
Crosuvo Plus,Rosuvastatinum calicum 10.4 mg + Ezetimibum 10 mg,10 mg + 10 mg,Tabletki powlekane,Rp
Crosuvo Plus,Rosuvastatinum calicum 20.8 mg + Ezetimibum 10 mg,20 mg + 10 mg,Tabletki powlekane,Rp
Crosuvo Plus,Rosuvastatinum calicum 41.6 mg + Ezetimibum 10 mg,40 mg + 10 mg,Tabletki powlekane,Rp
Nagardlan,Benzydamini hydrochloridum 1.5 mg/ml,1.5 mg/ml,Roztwór do stosowania w jamie ustnej,OTC
Ampicillin Adamed,Ampicillin sodium 531.5 mg,500 mg,Proszek do sporządzania roztworu do wstrzykiwań / do infuzji,Rp
Ampicillin Adamed,Ampicillin sodium 1063 mg,1 g,Proszek do sporządzania roztworu do wstrzykiwań / do infuzji,Rp
Ampicillin Adamed,Ampicillin sodium 2126 mg,2 g,Proszek do sporządzania roztworu do wstrzykiwań / do infuzji,Rp
Grumabix,Abirateroni acetas 250 mg,250 mg,Tabletki powlekane,Rp
Grumabix,Abirateroni acetas 500 mg,500 mg,Tabletki powlekane,Rp
Masultab,Amisulpridum 50 mg,50 mg,Tabletki,Rp
Masultab,Amisulpridum 100 mg,100 mg,Tabletki,Rp
Masultab,Amisulpridum 200 mg,200 mg,Tabletki,Rp
Masultab,Amisulpridum 400 mg,400 mg,Tabletki,Rp
Cinacalcet Sandoz,Cinacalcetii hydrochloridum 33.063 mg,30 mg,Tabletki powlekane,Rp
Cinacalcet Sandoz,Cinacalcetii hydrochloridum 66.127 mg,60 mg,Tabletki powlekane,Rp
Cinacalcet Sandoz,Cinacalcetii hydrochloridum 99.19 mg,90 mg,Tabletki powlekane,Rp
Vidisic,Carbomerum 2 mg/g,2 mg/g,Żel do oczu,OTC
Axopirox,Ciclopiroxum 80 mg/g,80 mg/g,Lakier do paznokci leczniczy,OTC
Neostreptaza,Streptokinasum 15000 IU + Streptodornasum 1250 IU,15 000 IU + 1250 IU,Czopki,Rp
Ampicilin+Sulbactam AptaPharma,Ampicilinum 1 g + Sulbactamum 0.5 g,1 g + 0.5 g,Proszek do sporządzania roztworu do wstrzykiwań / do infuzji,Rp
Ampicilin+Sulbactam AptaPharma,Ampicilinum 2 g + Sulbactamum 1 g,2 g + 1 g,Proszek do sporządzania roztworu do wstrzykiwań / do infuzji,Rp
Telmisartan Aurovitas,Telmisartanum 40 mg,40 mg,Tabletki,Rp
Telmisartan Aurovitas,Telmisartanum 80 mg,80 mg,Tabletki,Rp
Duphaston,Dydrogesteronum 10 mg,10 mg,Tabletki powlekane,Rp
Emla,Lidocainum 25 mg/g + Prilocainum 25 mg/g,25 mg/g + 25 mg/g,Krem,Rp
Clotidal MAX,Clotrimazolum 500 mg,500 mg,Tabletki dopochwowe,OTC
Fevarin,Fluvoxamini maleas 50 mg,50 mg,Tabletki powlekane,Rp
Fevarin,Fluvoxamini maleas 100 mg,100 mg,Tabletki powlekane,Rp
Vines,Gestodenum 60 mcg + Ethinylestradiolum 15 mcg,60 mcg + 15 mcg,Tabletki powlekane,Rp
Ventolin,Salbutamolum 1 mg/ml,1 mg/ml,Roztwór do nebulizacji,Rp
Simlerid,Sitagliptinum 25 mg,25 mg,Tabletki powlekane,Rp
Simlerid,Sitagliptinum 50 mg,50 mg,Tabletki powlekane,Rp
Simlerid,Sitagliptinum 100 mg,100 mg,Tabletki powlekane,Rp
Sademlip,Sitagliptinum 50 mg + Metformini hydrochloridum 850 mg,50 mg + 850 mg,Tabletki powlekane,Rp
Sademlip,Sitagliptinum 50 mg + Metformini hydrochloridum 1000 mg,50 mg + 1000 mg,Tabletki powlekane,Rp
Deslodyna,Desloratadinum 2.5 mg,2.5 mg,Tabletka ulegająca rozpadowi w jamie ustnej,Rp
Deslodyna,Desloratadinum 5 mg,5 mg,Tabletka ulegająca rozpadowi w jamie ustnej,Rp
Deslodyna fast junior,Desloratadinum 2.5 mg,2.5 mg,Tabletka ulegająca rozpadowi w jamie ustnej,OTC
Deslodyna fast,Desloratadinum 5 mg,5 mg,Tabletka ulegająca rozpadowi w jamie ustnej,OTC
Veriflo,Salmeterolum 25 mikrogramów/dawkę inhalacyjną + Fluticasoni propionas 50 mikrogramów/dawkę inhalacyjną,(25 mcg+ 50 mcg)/dawkę inh.,Aerozol inhalacyjny. zawiesina,Rp
Veriflo,Salmeterolum 25 mikrogramów/dawkę inhalacyjną + Fluticasoni propionas 125 mikrogramów/dawkę inhalacyjną,(25 mcg + 125 mcg)/dawkę inh.,Aerozol inhalacyjny. zawiesina,Rp
Veriflo,Salmeterolum 25 mikrogramów/dawkę inhalacyjną + Fluticasoni propionas 250 mikrogramów/dawkę inhalacyjną,(25 mcg + 250 mcg)/dawkę inh.,Aerozol inhalacyjny. zawiesina,Rp
Jazeta,Sitagliptini hydrochloridum monohydricum 108.95 mg,100 mg,Tabletki powlekane,Rp
Valinger Forte,Sildenafilum 50 mg,50 mg,Tabletki powlekane,OTC
Valinger Med,Sildenafilum 100 mg,100 mg,Tabletki powlekane,Rp
Kyleena,Levonorgestrelum 19.5 mg,19.5 mg,System terapeutyczny domaciczny,Rp
Energamma,Cyanocobalaminum 1000 mcg,1000 mcg,Tabletki drażowane,Rp
Zentel,Albendazolum 400 mg,400 mg,Tabletki do rozgryzania i żucia,Rp
Lokren 20,Betaxololi hydrochloridum 20 mg,20 mg,Tabletki powlekane,Rp
Torsemed,Torasemidum 5 mg,5 mg,Tabletki,Rp
Pelavo Med,Pelargonii radicis extractum siccum 20 mg,20 mg,Tabletki ulegające rozpadowi w jamie ustnej,OTC
Torsemed,Torasemidum 10 mg,10 mg,Tabletki,Rp
Torsemed,Torasemidum 20 mg,20 mg,Tabletki,Rp
Metindol Retard,Indometacinum 75 mg,75 mg,Tabletki o przedłużonym uwalnianiu,Rp
Beto 25 ZK,Metoprololi succinas 23.75 mg,23.75 mg,Tabletki o przedłużonym uwalnianiu,Rp
Beto 50 ZK,Metoprololi succinas 47.5 mg,47.5 mg,Tabletki o przedłużonym uwalnianiu,Rp
Cavinton Forte,Vinpocetinum 10 mg,10 mg,Tabletki,Rp
Liprolog Junior KwikPen,Insulinum lisprum 100 j.m./ml,100 j.m./ml,Roztwór do wstrzykiwań we wstrzykiwaczu,Rp
Preductal MR,Trimetazidini dihydrochloridum 35 mg,35 mg,Tabletki o zmodyfikowanym uwalnianiu,Rp
Bilastyna Amertil,Bilastinum 20 mg,20 mg,Tabletki,OTC
Ibuprom Forte,Ibuprofenum 400 mg,400 mg,Tabletki powlekane,OTC
Ibuprom Regular,Ibuprofenum 200 mg,200 mg,Tabletki powlekane,OTC
Femoston,Estradiolum. Estradiolum + Dydrogesteronum 2 mg (ceglastoczerwone). 2 mg + 10 mg (żółte),2 mg (ceglastoczerwone). 2 mg + 10 mg (żółte),Tabletki powlekane,Rp
Depo-Medrol,metyloprednizolonu octan 40 mg/ml,40 mg/ml,Zawiesina do wstrzykiwań,Rp
Pred-Ophtalene,Prednisoloni pivalas 5 mg/g,5 mg/g,Maść do oczu,Rp
Ranlosin XR,Tamsulosini hydrochloridum 0.4 mg,0.4 mg,Tabletki o przedłużonym uwalnianiu,Rp
Dexak,Dexketoprofenum 25 mg,25 mg,Tabletki powlekane,OTC
Klacid Uno,Clarithromycinum 500 mg,500 mg,Tabletki o przedłużonym uwalnianiu,Rp
